Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
198049:2797,55,1746887.97474,"[1-11], [14-57]",1715502.05798
198050:2797,154,4680131.25718,[2-155],4610325.35011
198063:2797,289,7969354.2243,"[1-37], [40-72], [74-124], [127-294]",7883900.50589
198116:2798,73,5928717.47774,"[36-52], [54-55], [58-96], [98-112]",5722462.44763
198207:2805,97,6831799.93918,[1-97],6746150.63082
198208:2805,204,12808009.4699,"[1-92], [94-134], [137-147], [150-209]",12626687.1389
198210:2805,216,11815980.0012,"[1-192], [198-221]",11730336.5687
198212:2805,574,25502156.2134,[1-574],25222808.0268
198213:2805,107,4053906.06073,[1-107],3959510.84192
198215:2805,12,436716.288695,[1-12],430332.729355
198230:2806,1350,99716610.9271,"[1-33], [36-57], [60-235], [237-324], [326-388], [390-459], [462-625], [627-651], [653-733], [738-755], [758-762], [765-805], [808-811], [814-948], [950-1090], [1093-1103], [1106-1332], [1335-1380]",98830557.2776
198249:2806,7,359245.030891,[1-7],356304.294196
198269:2807,194,25239733.9677,"[3-160], [163-198]",24859840.0079
198271:2807,777,74685676.8089,"[1-43], [46-91], [93-145], [148-170], [173-299], [301-409], [413-450], [453-513], [516-616], [619-628], [631-791], [793-797]",73826577.5646
198272:2807,603,41157558.0482,"[1-185], [188-245], [248-314], [317-433], [436-444], [454-620]",40697345.8278
198346:2810,4,448381.884449,[44-47],390961.358443
198372:2812,54,6923464.38868,[57-110],6710878.91003
198485:2816,167,21392213.6677,"[68-109], [112-134], [136-181], [184-239]",21098228.983
198487:2816,1596,129530176.255,"[1-145], [147-514], [517-668], [671-733], [736-757], [760-852], [854-994], [997-1434], [1437-1610]",128096942.495
198522:2819,132,16777786.054,"[65-65], [75-75], [77-144], [147-208]",16443667.3609
198941:2840,178,22583216.8743,"[102-189], [191-220], [222-241], [243-249], [252-284]",22226496.8896
198954:2842,168,20220211.2645,"[108-156], [159-277]",19892516.9672
198955:2842,1521,119419673.196,"[1-45], [47-50], [53-220], [223-269], [271-284], [286-304], [308-338], [340-580], [583-742], [744-910], [913-946], [949-1162], [1165-1169], [1172-1182], [1185-1188], [1190-1246], [1249-1304], [1306-1467], [1470-1485], [1487-1552]",118114457.052
198969:2843,1180,110719261.676,"[58-81], [84-247], [249-323], [325-365], [367-413], [416-466], [468-643], [646-918], [920-1011], [1013-1175], [1178-1236], [1239-1253]",109506878.782
199008:2847,549,61244767.7708,"[75-75], [83-83], [85-85], [87-93], [95-121], [124-208], [211-331], [333-373], [376-482], [485-605], [608-644]",60187084.7753
199011:2847,23,2137265.57555,"[1-11], [13-24]",2117749.08821
199021:2848,1412,128011610.492,"[59-60], [69-88], [91-128], [130-133], [136-309], [311-333], [335-410], [414-469], [471-533], [535-563], [565-1223], [1226-1479], [1481-1494]",126383279.639
199318:2858,74,10525312.1331,[65-138],10180801.428
199319:2858,972,100082463.821,"[1-7], [9-223], [226-277], [280-348], [351-358], [360-422], [424-490], [492-493], [496-612], [615-642], [645-720], [723-728], [730-731], [734-741], [744-752], [754-943], [945-997]",98668328.7583
199336:2858,968,62690137.7066,"[1-33], [36-122], [125-231], [234-614], [617-789], [791-977]",62220063.8669
